questionId,symptomCategoryId,questionText,whyItMatters,requestedEvidence,safetyWarning,priority,answerType
"overheating_05","overheating","What can you safely tell us about recent cooling work?","This helps separate overheating risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"overheating_06","overheating","What can you safely tell us about whether engine was shut off?","This helps separate overheating risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
"no_start_01","no_start","What can you safely tell us about what happens at key or button?","This helps separate no start risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"no_start_02","no_start","What can you safely tell us about whether lights remain bright?","This helps separate no start risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"no_start_03","no_start","What can you safely tell us about clicking or cranking sound?","This helps separate no start risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"no_start_04","no_start","What can you safely tell us about recent jump start or battery work?","This helps separate no start risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
"no_start_05","no_start","What can you safely tell us about fuel level and warning lights?","This helps separate no start risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"no_start_06","no_start","What can you safely tell us about whether it started recently?","This helps separate no start risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
"vibration_01","tire_wheel_vibration","What can you safely tell us about where vibration is felt?","This helps separate vibration risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"vibration_02","tire_wheel_vibration","What can you safely tell us about speed or condition that triggers it?","This helps separate vibration risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"vibration_03","tire_wheel_vibration","What can you safely tell us about whether braking changes it?","This helps separate vibration risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"vibration_04","tire_wheel_vibration","What can you safely tell us about visible tire or wheel damage?","This helps separate vibration risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
"vibration_05","tire_wheel_vibration","What can you safely tell us about whether it is worsening?","This helps separate vibration risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"vibration_06","tire_wheel_vibration","What can you safely tell us about recent tire or suspension work?","This helps separate vibration risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
"warning_lights_01","check_engine_light","What can you safely tell us about exact warning symbols?","This helps separate warning lights risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"warning_lights_02","check_engine_light","What can you safely tell us about steady or flashing state?","This helps separate warning lights risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"warning_lights_03","check_engine_light","What can you safely tell us about when lights appeared?","This helps separate warning lights risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"warning_lights_04","check_engine_light","What can you safely tell us about scan codes already available?","This helps separate warning lights risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
"warning_lights_05","check_engine_light","What can you safely tell us about changes in performance?","This helps separate warning lights risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"warning_lights_06","check_engine_light","What can you safely tell us about recent repairs or battery disconnect?","This helps separate warning lights risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
"transmission_01","transmission_slip","What can you safely tell us about selected gear and response?","This helps separate transmission risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"transmission_02","transmission_slip","What can you safely tell us about engine speed change?","This helps separate transmission risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"transmission_03","transmission_slip","What can you safely tell us about burning smell or leak?","This helps separate transmission risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"transmission_04","transmission_slip","What can you safely tell us about cold versus warm behavior?","This helps separate transmission risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
"transmission_05","transmission_slip","What can you safely tell us about warning messages?","This helps separate transmission risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"transmission_06","transmission_slip","What can you safely tell us about recent transmission work?","This helps separate transmission risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
"fuel_risk_01","fuel_smell","What can you safely tell us about where odor is strongest?","This helps separate fuel risk risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"fuel_risk_02","fuel_smell","What can you safely tell us about visible wet fuel?","This helps separate fuel risk risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"fuel_risk_03","fuel_smell","What can you safely tell us about whether odor is indoors?","This helps separate fuel risk risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"fuel_risk_04","fuel_smell","What can you safely tell us about when odor began?","This helps separate fuel risk risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
"fuel_risk_05","fuel_smell","What can you safely tell us about recent fueling or repair?","This helps separate fuel risk risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"fuel_risk_06","fuel_smell","What can you safely tell us about smoke or electrical symptoms?","This helps separate fuel risk risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
"electrical_01","charging_warning","What can you safely tell us about which electrical items failed?","This helps separate electrical risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"electrical_02","charging_warning","What can you safely tell us about battery or charging warning?","This helps separate electrical risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"electrical_03","charging_warning","What can you safely tell us about smoke heat or sparking?","This helps separate electrical risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"electrical_04","charging_warning","What can you safely tell us about whether vehicle stalls?","This helps separate electrical risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
"electrical_05","charging_warning","What can you safely tell us about recent battery work?","This helps separate electrical risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"electrical_06","charging_warning","What can you safely tell us about jump-start behavior?","This helps separate electrical risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
"buyer_review_01","buyer_remote_risk","What can you safely tell us about VIN and title status?","This helps separate buyer review risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"buyer_review_02","buyer_remote_risk","What can you safely tell us about cold-start access?","This helps separate buyer review risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"buyer_review_03","buyer_remote_risk","What can you safely tell us about scan-code access?","This helps separate buyer review risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"buyer_review_04","buyer_remote_risk","What can you safely tell us about inspection permission?","This helps separate buyer review risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
"buyer_review_05","buyer_remote_risk","What can you safely tell us about maintenance records?","This helps separate buyer review risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"buyer_review_06","buyer_remote_risk","What can you safely tell us about seller explanation for known issues?","This helps separate buyer review risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
"seller_disclosure_01","seller_as_is_disclosure","What can you safely tell us about known warning lights?","This helps separate seller disclosure risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"seller_disclosure_02","seller_as_is_disclosure","What can you safely tell us about when issue began?","This helps separate seller disclosure risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"seller_disclosure_03","seller_as_is_disclosure","What can you safely tell us about whether vehicle runs and drives?","This helps separate seller disclosure risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"seller_disclosure_04","seller_as_is_disclosure","What can you safely tell us about estimates or records available?","This helps separate seller disclosure risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
"seller_disclosure_05","seller_as_is_disclosure","What can you safely tell us about title and mileage status?","This helps separate seller disclosure risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"seller_disclosure_06","seller_as_is_disclosure","What can you safely tell us about unfinished repairs?","This helps separate seller disclosure risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
"repair_vs_sell_01","seller_as_is_disclosure","What can you safely tell us about written repair estimate?","This helps separate repair vs sell risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"repair_vs_sell_02","seller_as_is_disclosure","What can you safely tell us about approximate repaired value?","This helps separate repair vs sell risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"repair_vs_sell_03","seller_as_is_disclosure","What can you safely tell us about as-is demand or offer?","This helps separate repair vs sell risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"repair_vs_sell_04","seller_as_is_disclosure","What can you safely tell us about repeat failures?","This helps separate repair vs sell risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
"repair_vs_sell_05","seller_as_is_disclosure","What can you safely tell us about daily transportation need?","This helps separate repair vs sell risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"repair_vs_sell_06","seller_as_is_disclosure","What can you safely tell us about title rust or structural concerns?","This helps separate repair vs sell risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
"roadside_driver_01","loss_of_power","What can you safely tell us about current safe location?","This helps separate roadside driver risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"roadside_driver_02","loss_of_power","What can you safely tell us about brake and steering control?","This helps separate roadside driver risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"roadside_driver_03","loss_of_power","What can you safely tell us about smoke fire smell or leak?","This helps separate roadside driver risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"roadside_driver_04","loss_of_power","What can you safely tell us about red warning lights?","This helps separate roadside driver risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
"roadside_driver_05","loss_of_power","What can you safely tell us about whether occupants are safe?","This helps separate roadside driver risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"roadside_driver_06","loss_of_power","What can you safely tell us about tow already requested?","This helps separate roadside driver risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
