symptomCategoryId,label,plainEnglishDescription,commonCustomerPhrases,commonEvidenceNeeded,possibleRiskLevel,highRiskSignals,relatedRoadsideModes,recommendedInitialPath,humanReviewRecommended,safetyNote
"brake_vibration","Vehicle or pedal vibrates during braking","Vehicle or pedal vibrates during braking. This category organizes customer observations without confirming a cause.","steering shakes when braking; pedal pulses","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","violent shaking; pulling; warning lights","can_i_keep_driving;limp_to_safe_place","schedule_inspection","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"soft_brake_pedal","Brake pedal feels soft or sinks","Brake pedal feels soft or sinks. This category organizes customer observations without confirming a cause.","pedal goes to floor; brakes feel mushy","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","critical","longer stopping distance; fluid leak; red brake light","roadside_now;tow_or_stop_now","stop_now","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"steering_pull","Vehicle pulls or drifts unexpectedly","Vehicle pulls or drifts unexpectedly. This category organizes customer observations without confirming a cause.","pulls left; will not track straight","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","hard pull; braking changes; tire damage","can_i_keep_driving;limp_to_safe_place","schedule_inspection","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"steering_loss","Steering control or assist is lost","Steering control or assist is lost. This category organizes customer observations without confirming a cause.","cannot steer; wheel suddenly got heavy","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","critical","loss of control; warning lights; fluid pouring out","roadside_now;tow_or_stop_now","stop_now","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"suspension_clunk","Clunk or knock comes from suspension area","Clunk or knock comes from suspension area. This category organizes customer observations without confirming a cause.","clunks over bumps; front end knocks","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","moderate","wheel movement; severe pull; tire contact","can_i_keep_driving","schedule_inspection","false","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"wheel_bearing_noise","Humming or growling changes with road speed","Humming or growling changes with road speed. This category organizes customer observations without confirming a cause.","wheel hum; growl gets louder turning","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","wheel looseness; severe vibration; heat","can_i_keep_driving;tow_or_stop_now","schedule_inspection","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"tire_wheel_vibration","Vehicle vibrates with speed","Vehicle vibrates with speed. This category organizes customer observations without confirming a cause.","shakes on highway; steering wheel vibrates","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","bulge; tread separation; loose wheel","can_i_keep_driving;tow_or_stop_now","limp_to_safe_place","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"transmission_slip","Engine speed rises without matching acceleration","Engine speed rises without matching acceleration. This category organizes customer observations without confirming a cause.","revs but barely moves; slipping gears","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","burning smell; loss of drive in traffic","can_i_keep_driving;tow_or_stop_now","schedule_inspection","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"transmission_no_engage","Vehicle will not move when a gear is selected","Vehicle will not move when a gear is selected. This category organizes customer observations without confirming a cause.","goes into gear but will not move","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","roll-away risk; fluid pouring out","roadside_now;tow_or_stop_now","tow","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"electrical_dead_battery","Vehicle has little or no electrical power","Vehicle has little or no electrical power. This category organizes customer observations without confirming a cause.","battery is dead; only clicks","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","moderate","smoke; heat; swelling; sparks","roadside_now","basic_safe_check","false","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"charging_warning","Charging-system warning is illuminated","Charging-system warning is illuminated. This category organizes customer observations without confirming a cause.","battery light is on; alternator warning","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","lights dimming; repeated stalling; burning odor","roadside_now;limp_to_safe_place","limp_to_safe_place","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"fuel_smell","Fuel odor is present","Fuel odor is present. This category organizes customer observations without confirming a cause.","smells like gas; raw fuel odor","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","critical","visible wet fuel; smoke; symptoms indoors","roadside_now;tow_or_stop_now","stop_now","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"fuel_leak","Fuel appears to be leaking","Fuel appears to be leaking. This category organizes customer observations without confirming a cause.","gas dripping; fuel puddle","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","critical","active leak; fire or spark source","roadside_now;tow_or_stop_now","stop_now","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"smoke_from_engine","Smoke or steam is coming from engine area","Smoke or steam is coming from engine area. This category organizes customer observations without confirming a cause.","smoke under hood; engine bay smoking","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","critical","flames; burning odor; rising temperature","roadside_now;tow_or_stop_now","stop_now","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"burning_smell","A hot electrical, rubber, oil, or brake odor is present","A hot electrical, rubber, oil, or brake odor is present. This category organizes customer observations without confirming a cause.","burning plastic; hot rubber smell","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","smoke; sparks; brake fade; visible heat damage","roadside_now;tow_or_stop_now","stop_now","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"check_engine_light","Engine warning light is on","Engine warning light is on. This category organizes customer observations without confirming a cause.","check engine light came on; service engine soon","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","moderate","flashing light; severe shaking; overheating","can_i_keep_driving","request_more_info","false","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"abs_light","ABS warning light is on","ABS warning light is on. This category organizes customer observations without confirming a cause.","ABS light stays on; anti-lock warning","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","red brake light; changed braking; soft pedal","can_i_keep_driving;tow_or_stop_now","schedule_inspection","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"airbag_light","Airbag or restraint warning is on","Airbag or restraint warning is on. This category organizes customer observations without confirming a cause.","SRS light; airbag warning","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","recent crash; deployed airbag; damaged belts","can_i_keep_driving","schedule_inspection","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"weird_noise","An unfamiliar noise needs classification","An unfamiliar noise needs classification. This category organizes customer observations without confirming a cause.","weird sound; rattle or hum","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","unknown","grinding; knocking; noise with control loss","can_i_keep_driving","request_more_info","false","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"buyer_remote_risk","Buyer needs risk review before purchase","Buyer needs risk review before purchase. This category organizes customer observations without confirming a cause.","is this car worth looking at; seller says easy fix","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","unknown","title conflict; safety warning; seller blocks inspection","can_i_keep_driving","buyer_request_more_evidence","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"seller_as_is_disclosure","Seller needs clear issue disclosure","Seller needs clear issue disclosure. This category organizes customer observations without confirming a cause.","how do I describe what is wrong; selling as-is","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","unknown","title uncertainty; safety defect; misleading claim","can_i_keep_driving","sell_as_is","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
