evidenceId,label,description,evidenceType,usefulForSymptomCategories,safeCaptureInstructions,unsafeCaptureWarning,priority,customerPromptText
"sound_audio_clip","Sound or audio clip","Sound or audio clip can add context but does not confirm condition by itself.","audio","weird_noise;brake_noise;wheel_bearing_noise;suspension_clunk","Record briefly from a safe parked location.","Do not place the device near moving belts, fans, wheels, or traffic.","medium","Please provide sound or audio clip if you already have it or can capture it safely."
"vibration_video","Vibration video if safe","Vibration video if safe can add context but does not confirm condition by itself.","video","tire_wheel_vibration;brake_vibration;rough_idle","Have a passenger record only when lawful and safe, or describe it after stopping.","Never record while you are driving.","medium","Please provide vibration video if safe if you already have it or can capture it safely."
"braking_video","Braking symptom video if safe","Braking symptom video if safe can add context but does not confirm condition by itself.","video","brake_vibration;brake_noise;soft_brake_pedal","Prefer a passenger recording in a controlled safe setting; written description is acceptable.","Do not recreate unsafe braking or use public traffic for evidence.","low","Please provide braking symptom video if safe if you already have it or can capture it safely."
"coolant_level_photo","Coolant level photo when cold","Coolant level photo when cold can add context but does not confirm condition by itself.","photo","overheating;coolant_leak","Photograph the external reservoir only after the engine is fully cold.","Never open a hot or pressurized cooling system.","high","Please provide coolant level photo when cold if you already have it or can capture it safely."
"oil_level_photo","Oil level photo if safe","Oil level photo if safe can add context but does not confirm condition by itself.","photo","oil_pressure_warning;smoke_from_engine","Check only on stable ground with the engine off when you know the safe procedure.","Do not touch hot parts; a warning light requires caution regardless of level.","medium","Please provide oil level photo if safe if you already have it or can capture it safely."
"battery_terminal_photo","Battery terminal photo","Battery terminal photo can add context but does not confirm condition by itself.","photo","electrical_dead_battery;charging_warning","Photograph from a safe distance with the vehicle off.","Do not touch terminals if there is heat, swelling, smoke, corrosion dust, or sparking.","medium","Please provide battery terminal photo if you already have it or can capture it safely."
"title_seller_note","Title or seller note","Title or seller note can add context but does not confirm condition by itself.","document","buyer_remote_risk;seller_as_is_disclosure","Share only relevant status text with sensitive numbers redacted.","Do not post full identity documents publicly.","high","Please provide title or seller note if you already have it or can capture it safely."
"seller_listing_screenshot","Seller listing screenshot","Seller listing screenshot can add context but does not confirm condition by itself.","document","buyer_remote_risk","Capture claims, price, and disclosed condition.","Redact phone numbers and unrelated personal information.","high","Please provide seller listing screenshot if you already have it or can capture it safely."
"vin_photo","VIN photo if safe","VIN photo if safe can add context but does not confirm condition by itself.","photo","buyer_remote_risk;seller_as_is_disclosure","Photograph a visible VIN plate while parked and with permission.","Do not enter restricted areas or share it publicly without considering privacy.","medium","Please provide vin photo if safe if you already have it or can capture it safely."
"mileage_photo","Mileage photo","Mileage photo can add context but does not confirm condition by itself.","photo","buyer_remote_risk;seller_as_is_disclosure;repair_vs_sell","Photograph the odometer while parked.","Do not photograph while driving.","medium","Please provide mileage photo if you already have it or can capture it safely."
"fluid_puddle_photo","Fluid puddle photo","Fluid puddle photo can add context but does not confirm condition by itself.","photo","coolant_leak;fuel_leak;oil_pressure_warning","Photograph from outside the spill area and note color and location.","Avoid skin contact and ignition sources.","high","Please provide fluid puddle photo if you already have it or can capture it safely."
"exhaust_smoke_video","Exhaust smoke video if safe","Exhaust smoke video if safe can add context but does not confirm condition by itself.","video","misfire;smoke_from_engine;loss_of_power","Record outdoors from a safe distance with a parked vehicle.","Avoid enclosed spaces and do not breathe exhaust.","medium","Please provide exhaust smoke video if safe if you already have it or can capture it safely."
"engine_bay_noise_audio","Engine bay noise audio","Engine bay noise audio can add context but does not confirm condition by itself.","audio","weird_noise;misfire;wheel_bearing_noise","Record from outside the engine bay with the hood secured.","Keep hands, clothing, and the device away from moving or hot parts.","medium","Please provide engine bay noise audio if you already have it or can capture it safely."
"transmission_behavior_description","Transmission behavior description","Transmission behavior description can add context but does not confirm condition by itself.","text","transmission_slip;transmission_no_engage","Describe what happened after parking safely.","Do not repeat a dangerous test to answer.","high","Please provide transmission behavior description if you already have it or can capture it safely."
"steering_behavior_description","Steering behavior description","Steering behavior description can add context but does not confirm condition by itself.","text","steering_pull;steering_loss","Describe direction, speed, and warning lights after stopping.","Do not keep driving to reproduce loss of control.","high","Please provide steering behavior description if you already have it or can capture it safely."
"smell_description","Smell description","Smell description can add context but does not confirm condition by itself.","text","fuel_smell;burning_smell;smoke_from_engine","Describe the odor and where it seemed strongest from a safe location.","Do not approach fumes or remain in an enclosed area.","high","Please provide smell description if you already have it or can capture it safely."
"recent_repair_list","Recent repair list","Recent repair list can add context but does not confirm condition by itself.","text","all","List recent work, dates, and whether the symptom changed.","Do not disassemble anything to verify the list.","medium","Please provide recent repair list if you already have it or can capture it safely."
"parts_replaced_list","Parts replaced list","Parts replaced list can add context but does not confirm condition by itself.","text","all","List known replaced parts and available receipts.","Do not assume a replaced part proves the cause.","medium","Please provide parts replaced list if you already have it or can capture it safely."
"symptom_timeline","Timeline of symptom","Timeline of symptom can add context but does not confirm condition by itself.","text","all","Write when it began, frequency, and conditions.","Do not recreate the symptom.","high","Please provide timeline of symptom if you already have it or can capture it safely."
"getting_worse_status","Whether issue is getting worse","Whether issue is getting worse can add context but does not confirm condition by itself.","choice","all","Answer from existing observations.","Stop use if worsening affects control, heat, smoke, leaks, or warning lights.","high","Please provide whether issue is getting worse if you already have it or can capture it safely."
"runs_drives_status","Whether vehicle still runs or drives","Whether vehicle still runs or drives can add context but does not confirm condition by itself.","choice","all","State current status without attempting another drive.","Do not start or drive solely to answer.","high","Please provide whether vehicle still runs or drives if you already have it or can capture it safely."
"tow_used_status","Whether tow already used","Whether tow already used can add context but does not confirm condition by itself.","choice","all","State yes, no, or unknown.","Do not move a vehicle to avoid towing when unsafe.","medium","Please provide whether tow already used if you already have it or can capture it safely."
"location_context","General location context","General location context can add context but does not confirm condition by itself.","text","roadside_now;buyer_remote_risk","Use non-precise context such as roadside, parking lot, home, or shop.","Do not share an exact private address unless operationally required.","medium","Please provide general location context if you already have it or can capture it safely."
"mechanic_estimate_photo","Mechanic estimate photo","Mechanic estimate photo can add context but does not confirm condition by itself.","document","repair_vs_sell;buyer_remote_risk;seller_as_is_disclosure","Redact payment and unrelated personal details.","An estimate is not proof of completed work or final cost.","high","Please provide mechanic estimate photo if you already have it or can capture it safely."
"maintenance_record_summary","Maintenance record summary","Maintenance record summary can add context but does not confirm condition by itself.","text","buyer_remote_risk;repair_vs_sell","Summarize dates and major services from records you may share.","Do not alter or overstate records.","medium","Please provide maintenance record summary if you already have it or can capture it safely."
