factorId,label,plainEnglishMeaning,pushesTowardRepair,pushesTowardSell,infoNeeded,riskNote,customerQuestion
"already_spent_amount","Already Spent Amount","Already Spent Amount can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current already spent amount information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's already spent amount, and how confident are you in that information?"
"rust_structural_concern","Rust Structural Concern","Rust Structural Concern can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current rust structural concern information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's rust structural concern, and how confident are you in that information?"
"transmission_concern","Transmission Concern","Transmission Concern can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current transmission concern information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's transmission concern, and how confident are you in that information?"
"engine_concern","Engine Concern","Engine Concern can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current engine concern information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's engine concern, and how confident are you in that information?"
"electrical_concern","Electrical Concern","Electrical Concern can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current electrical concern information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's electrical concern, and how confident are you in that information?"
"failed_emissions","Failed Emissions","Failed Emissions can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current failed emissions information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's failed emissions, and how confident are you in that information?"
"diagnostic_uncertainty","Diagnostic Uncertainty","Diagnostic Uncertainty can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current diagnostic uncertainty information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's diagnostic uncertainty, and how confident are you in that information?"
"registration_title_issue","Registration Title Issue","Registration Title Issue can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current registration title issue information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's registration title issue, and how confident are you in that information?"
"buyer_demand","Buyer Demand","Buyer Demand can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current buyer demand information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's buyer demand, and how confident are you in that information?"
"diy_ability","Diy Ability","Diy Ability can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current diy ability information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's diy ability, and how confident are you in that information?"
"tool_availability","Tool Availability","Tool Availability can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current tool availability information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's tool availability, and how confident are you in that information?"
"time_available","Time Available","Time Available can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current time available information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's time available, and how confident are you in that information?"
"tow_storage_cost","Tow Storage Cost","Tow Storage Cost can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current tow storage cost information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's tow storage cost, and how confident are you in that information?"
